2457960.65247 17.730 0.016 4.95 292.0
2457960.70162 17.709 0.017 5.75 333.0
2457960.75595 17.656 0.018 6.28 348.0
2457960.79143 17.726 0.020 6.34 374.0
2457961.53459 17.686 0.017 5.28 444.0
2457961.59762 17.726 0.017 5.54 414.0
2457961.63387 17.725 0.017 5.11 382.0
2457961.67821 17.704 0.016 5.21 374.0
2457961.74659 17.680 0.022 7.01 484.0
2457962.49747 17.680 0.016 4.69 392.0
2457962.54196 17.693 0.015 4.41 378.0
2457962.65669 17.676 0.016 4.74 458.0
2457963.58953 17.712 0.017 4.80 474.0
2457964.53569 17.693 0.019 5.03 506.0
2457964.57350 17.703 0.017 4.58 444.0
2457964.62472 17.723 0.019 5.38 413.0
2457964.67256 17.726 0.019 5.11 400.0
2457964.75324 17.709 0.022 6.44 481.0
2457965.63914 17.718 0.017 4.65 457.0
2457965.67450 17.670 0.017 5.31 410.0
2457965.70519 17.766 0.020 5.09 609.0
2457966.53649 17.740 0.025 6.64 496.0
